x,a2=40,a2=50,a2=60,a2=65,a2=70,a2=75,a2=80
0.30376,0.06322,0.066872,0.067533,0.069077,0.06965,0.069625,0.07218
0.30788,0.062942,0.065683,0.067122,0.068398,0.069188,0.069178,0.071774
0.30795,0.062937,0.065659,0.067114,0.068385,0.06918,0.069171,0.071767
0.30924,0.062849,0.065225,0.066986,0.068163,0.06904,0.069039,0.071646
0.30946,0.062833,0.06515,0.066964,0.068125,0.069017,0.069017,0.071626
0.31524,0.062418,0.063461,0.06638,0.067275,0.068373,0.068398,0.071166
0.31693,0.062291,0.063147,0.066203,0.06708,0.068171,0.068192,0.071066
0.31793,0.062214,0.063008,0.066097,0.06697,0.068048,0.068061,0.071015
0.32114,0.061956,0.062735,0.065746,0.066632,0.067634,0.067587,0.070882
0.32693,0.061422,0.062353,0.065056,0.066004,0.066822,0.066581,0.070615
0.3311,0.060862,0.061894,0.064497,0.065508,0.066197,0.06593,0.07031
0.33135,0.060812,0.061859,0.064461,0.065478,0.066159,0.065895,0.070288
0.33159,0.060758,0.061826,0.064427,0.065448,0.066122,0.065862,0.070267
0.3327,0.06023,0.061661,0.064264,0.065309,0.065951,0.065716,0.070162
0.33271,0.060215,0.061659,0.064262,0.065308,0.065949,0.065714,0.070161
0.33499,0.059476,0.061287,0.063912,0.065017,0.065593,0.065444,0.069925
0.33572,0.059367,0.061161,0.063796,0.064923,0.065478,0.065366,0.069845
0.34425,0.058217,0.059572,0.062335,0.063778,0.064113,0.064649,0.068815
0.34882,0.057445,0.058758,0.061539,0.063146,0.063377,0.064341,0.06825
0.35003,0.057217,0.058564,0.061334,0.062979,0.063184,0.064264,0.068107
0.35058,0.057108,0.058479,0.061241,0.062902,0.063095,0.064229,0.068043
0.35349,0.056456,0.058077,0.060761,0.062494,0.062629,0.064046,0.067727
0.35747,0.055529,0.057636,0.060139,0.061932,0.061995,0.063787,0.067358
0.35769,0.055502,0.057616,0.060108,0.061902,0.061961,0.063773,0.06734
0.3581,0.055449,0.057576,0.060046,0.061843,0.061896,0.063744,0.067306
0.36464,0.054724,0.056975,0.059119,0.06091,0.060878,0.063217,0.066812
0.36521,0.054664,0.056913,0.059042,0.060828,0.060791,0.063162,0.06677
0.3707,0.054084,0.05615,0.058314,0.060034,0.059973,0.06258,0.066354
0.37434,0.053684,0.055527,0.057842,0.059502,0.059456,0.06216,0.066076
0.37776,0.053261,0.054913,0.057399,0.058995,0.058993,0.061754,0.065817
0.37816,0.053207,0.054842,0.057348,0.058935,0.058941,0.061706,0.065787
0.38128,0.052676,0.054279,0.05694,0.058463,0.05854,0.06133,0.065553
0.38383,0.052256,0.053827,0.056603,0.058069,0.058227,0.061024,0.065366
0.38812,0.051683,0.053082,0.056013,0.057365,0.057726,0.060506,0.065055
0.38823,0.051669,0.053063,0.055997,0.057345,0.057713,0.060493,0.065047
0.38864,0.051615,0.052993,0.055938,0.057273,0.057667,0.060443,0.065017
0.39669,0.050578,0.051742,0.054688,0.055732,0.056795,0.059478,0.064453
0.39692,0.050548,0.051711,0.05465,0.055691,0.056771,0.059451,0.064437
0.40429,0.049603,0.05103,0.053342,0.054492,0.056002,0.058584,0.063944
0.40705,0.04925,0.050875,0.052841,0.054075,0.055715,0.058265,0.063765
0.4084,0.049077,0.050786,0.052603,0.053875,0.055574,0.058111,0.063679
0.41372,0.048393,0.050294,0.051757,0.053118,0.055016,0.057518,0.06335
0.41613,0.04808,0.050006,0.051427,0.052789,0.054762,0.057259,0.063206
0.42155,0.047364,0.049198,0.050785,0.052085,0.054193,0.056715,0.062897
0.4231,0.047149,0.048912,0.050619,0.051892,0.054029,0.056571,0.062813
0.42317,0.047139,0.048898,0.050611,0.051883,0.054021,0.056564,0.062809
0.42674,0.046615,0.048205,0.05025,0.051456,0.053645,0.056257,0.062624
0.43223,0.045622,0.04731,0.049714,0.050837,0.053067,0.05585,0.062362
0.43758,0.044294,0.04666,0.04919,0.050268,0.052506,0.055502,0.062132
0.44249,0.043339,0.046178,0.048689,0.049765,0.051991,0.055189,0.061935
0.44608,0.042855,0.045857,0.048304,0.049406,0.051615,0.054953,0.061794
0.44669,0.042786,0.045805,0.048238,0.049346,0.051552,0.054912,0.061771
0.45088,0.042361,0.04545,0.047758,0.048933,0.051117,0.054629,0.061605
0.45972,0.041623,0.044714,0.046642,0.048069,0.050213,0.054007,0.061218
