x,alpha2=40,alpha2=50,alpha2=55,alpha2=60,alpha2=65,alpha2=70
0.30175,0.141353,0.141353,0.143358,0.147368,0.154386,0.164083
0.30643,0.139478,0.139708,0.141301,0.145881,0.153073,0.161905
0.31345,0.136842,0.137266,0.138291,0.143802,0.151134,0.158781
0.31813,0.135259,0.135668,0.136393,0.142494,0.149875,0.157201
0.32047,0.134482,0.134881,0.135493,0.141855,0.149256,0.156537
0.32515,0.132832,0.133333,0.133835,0.140596,0.148037,0.155391
0.32749,0.131906,0.132572,0.133094,0.139974,0.147434,0.154887
0.33684,0.128822,0.129579,0.130777,0.137503,0.145046,0.153159
0.34152,0.127802,0.12809,0.129889,0.136274,0.14386,0.152398
0.35088,0.125929,0.125078,0.128321,0.133812,0.141513,0.151003
0.35322,0.125408,0.124311,0.127945,0.133194,0.14094,0.150676
0.35556,0.124812,0.123536,0.127571,0.132574,0.140374,0.150356
0.36023,0.123053,0.12199,0.126823,0.131328,0.139272,0.149738
0.36491,0.120802,0.120491,0.126065,0.130072,0.138215,0.149152
0.36725,0.120009,0.119771,0.125681,0.129442,0.137706,0.148872
0.37661,0.117455,0.117122,0.124086,0.126942,0.13584,0.147873
0.37895,0.116792,0.116516,0.123667,0.12633,0.135424,0.147627
0.3883,0.113623,0.114286,0.12185,0.123976,0.133961,0.146366
0.39298,0.111779,0.113266,0.120802,0.122867,0.133328,0.145628
0.39766,0.109902,0.11229,0.119575,0.121805,0.132741,0.144871
0.40936,0.106266,0.109964,0.115555,0.119331,0.13137,0.142978
0.41404,0.105113,0.109061,0.113964,0.118403,0.130827,0.142238
0.41637,0.104563,0.108614,0.113283,0.117951,0.130552,0.141875
0.43041,0.101405,0.105945,0.110265,0.115399,0.128837,0.13985
0.44211,0.098747,0.103689,0.108332,0.113487,0.127317,0.138534
0.44678,0.097627,0.102757,0.107618,0.112782,0.126678,0.138151
0.44912,0.097056,0.102281,0.107268,0.112443,0.126349,0.137993
0.45614,0.095339,0.100812,0.10623,0.111485,0.125313,0.137642
0.47018,0.092162,0.097781,0.10411,0.109833,0.122994,0.137343
0.47485,0.091228,0.096795,0.10336,0.109357,0.122267,0.137312
0.48421,0.089528,0.094956,0.101754,0.108504,0.121059,0.137304
0.48655,0.089128,0.094533,0.101329,0.10831,0.120802,0.137311
0.49123,0.08835,0.093734,0.100461,0.10794,0.12033,0.137335
0.50058,0.086862,0.092308,0.098721,0.107268,0.119518,0.137413
0.52164,0.083709,0.089544,0.095316,0.105999,0.118175,0.137713
0.52632,0.083028,0.088968,0.094737,0.105752,0.117955,0.137799
0.52865,0.08269,0.088681,0.094478,0.105634,0.117856,0.137845
0.54035,0.081035,0.087218,0.09344,0.105086,0.117455,0.138099
0.54737,0.080081,0.086273,0.092953,0.104796,0.117293,0.138276
