x,axial_entry_nozzle,impluse_blading
2.77556e-17,0.000585937,-2.77556e-17
4.69186e-06,0.000585896,-4.12371e-08
0.0108147,0.000490886,-9.50514e-05
0.0156145,0.000760733,-0.000137237
0.0288409,0.00150433,-0.000253484
0.0360335,0.0022501,-0.000316701
0.0444695,0.00312478,0.000783643
0.0528679,0.0046872,0.00187909
0.0625144,0.00648181,0.00273473
0.0708987,0.00789332,0.00347843
0.0757454,0.00870927,0.00409188
0.0853778,0.0115543,0.00531107
0.0925423,0.0127378,0.00621789
0.102217,0.014336,0.00770399
0.106974,0.0153239,0.00843479
0.113046,0.0165846,0.00917041
0.12501,0.0207121,0.01062
0.126296,0.0211556,0.0108045
0.139541,0.0251408,0.0127048
0.144251,0.0265581,0.0133806
0.152786,0.0291259,0.0149222
0.163629,0.0331322,0.0168808
0.165904,0.0342179,0.0172919
0.173275,0.0377349,0.0188586
0.188937,0.0434566,0.0221876
0.192376,0.0447273,0.0229186
0.199779,0.0474629,0.0243383
0.207005,0.0497431,0.0257239
0.212828,0.0521689,0.0268404
0.216647,0.0537599,0.0277365
0.225083,0.0572014,0.029716
0.232083,0.0605415,0.0313586
0.233523,0.0612288,0.0317172
0.244376,0.0664069,0.0344188
0.252544,0.069425,0.0364522
0.255219,0.0704131,0.0370798
0.263664,0.0750264,0.0390615
0.2718,0.0779228,0.0409705
0.273301,0.0784573,0.0413471
0.280545,0.0830811,0.0431643
0.289854,0.0875227,0.0454993
0.295015,0.0899852,0.0468671
0.303456,0.0940126,0.0491039
0.309114,0.0973965,0.0506035
0.313111,0.0997871,0.0518188
0.325972,0.106442,0.0557288
0.327586,0.107277,0.0560383
0.338443,0.113041,0.0581202
0.346424,0.116146,0.0596506
0.351697,0.118198,0.0612539
0.362559,0.124548,0.0645562
0.363281,0.124928,0.0647758
0.374622,0.130887,0.0679877
0.38134,0.134093,0.0698906
0.38668,0.136641,0.0715248
0.397541,0.14299,0.0748492
0.401811,0.145486,0.076156
