"Temp (K)","Kin. Visc (m2/s)"
198,7.4E-06
223,9.22E-06
248,1.118E-05
258,1.2009999999999999E-05
263,1.243E-05
268,1.2849999999999999E-05
273,1.3279999999999998E-05
278,1.372E-05
283,1.416E-05
288,1.4609999999999999E-05
293,1.506E-05
298,1.552E-05
303,1.598E-05
313,1.692E-05
323,1.7879999999999998E-05
333,1.886E-05
353,2.0879999999999997E-05
373,2.297E-05
398,2.569E-05
423,2.851E-05
448,3.144E-05
473,3.447E-05
498,3.76E-05
573,4.7539999999999995E-05
685,6.382E-05
773,7.772E-05
873,9.462E-05
973,0.00011259999999999999
1073,0.00013169999999999998
1173,0.00015169999999999997
1273,0.00017269999999999997
1373,0.0001946
