x,beta = 80,beta = 75,beta = 70,beta = 65,beta = 60,beta = 55,beta = 50
-29.841,67.986,64.046,59.893,56.938,53.024,49.129,45.148
-29.641,67.977,64.017,59.884,56.879,52.948,49.017,45.087
-27.052,67.859,63.679,59.649,56.126,51.949,47.601,43.931
-26.653,67.842,63.639,59.57,56.02,51.792,47.399,43.675
-26.056,67.818,63.584,59.422,55.867,51.555,47.11,43.27
-25.458,67.795,63.535,59.242,55.723,51.318,46.839,42.854
-24.064,67.746,63.43,58.772,55.414,50.774,46.253,41.89
-23.466,67.726,63.384,58.578,55.285,50.549,46.012,41.507
-23.267,67.72,63.368,58.517,55.242,50.476,45.932,41.387
-23.068,67.714,63.352,58.457,55.198,50.405,45.852,41.274
-21.275,67.661,63.174,58.035,54.779,49.8,45.13,40.47
-21.076,67.655,63.148,58.002,54.727,49.711,45.049,40.384
-20.876,67.65,63.121,57.972,54.675,49.553,44.967,40.294
-20.478,67.638,63.062,57.919,54.566,49.276,44.801,40.102
-20.279,67.633,63.03,57.895,54.51,49.166,44.718,40
-19.482,67.611,62.886,57.815,54.273,48.786,44.377,39.557
-18.486,67.585,62.693,57.734,53.956,48.36,43.931,38.973
-16.693,67.539,62.428,57.584,53.345,47.629,43.04,37.952
-15.697,67.514,62.361,57.468,52.996,47.228,42.482,37.457
-14.9,67.495,62.332,57.341,52.717,46.905,41.984,37.126
-14.701,67.49,62.326,57.303,52.647,46.824,41.85,37.052
-13.307,67.455,62.289,56.973,52.169,46.243,40.858,36.602
-12.112,67.424,62.237,56.621,51.768,45.675,40.231,36.222
-11.713,67.414,62.212,56.495,51.637,45.456,40.058,36.069
-11.514,67.408,62.197,56.432,51.571,45.346,39.975,35.984
-10.518,67.38,62.1,56.117,51.248,44.855,39.582,35.467
-9.323,67.344,61.946,55.773,50.867,44.34,39.14,34.692
-9.124,67.338,61.917,55.723,50.804,44.257,39.068,34.553
-8.327,67.312,61.798,55.548,50.555,43.934,38.783,33.988
-7.53,67.283,61.676,55.408,50.307,43.621,38.501,33.428
-6.534,67.245,61.53,55.26,49.995,43.245,38.15,32.754
-6.335,67.237,61.503,55.232,49.933,43.173,38.08,32.624
-5.139,67.184,61.362,55.056,49.55,42.775,37.647,31.881
-3.745,67.113,61.224,54.798,49.086,42.548,37.093,31.09
-3.546,67.102,61.204,54.754,49.017,42.481,37.006,30.983
-3.147,67.079,61.163,54.66,48.878,42.312,36.823,30.773
-2.151,67.017,61.04,54.403,48.519,41.817,36.301,30.267
0.438,66.821,60.591,53.662,47.543,40.453,34.606,29.03
1.434,66.73,60.412,53.383,47.168,39.936,33.986,28.569
1.833,66.692,60.347,53.278,47.021,39.735,33.752,28.386
2.231,66.653,60.287,53.179,46.878,39.538,33.526,28.204
3.227,66.553,60.161,52.967,46.529,39.072,32.989,27.746
5.418,66.335,59.928,52.611,45.78,38.1,31.884,26.717
5.817,66.298,59.884,52.547,45.642,37.901,31.688,26.529
6.215,66.262,59.839,52.48,45.503,37.688,31.493,26.343
7.211,66.181,59.718,52.295,45.149,37.105,31.008,25.896
7.41,66.166,59.694,52.254,45.077,36.983,30.911,25.812
8.008,66.127,59.618,52.127,44.859,36.617,30.619,25.568
9.602,66.064,59.408,51.757,44.258,35.66,29.827,24.932
10.598,66.054,59.273,51.508,43.863,35.114,29.31,24.509
10.996,66.055,59.218,51.405,43.699,34.913,29.098,24.331
11.195,66.057,59.191,51.353,43.617,34.818,28.99,24.24
13.785,66.127,58.829,50.64,42.477,33.731,27.581,22.964
14.382,66.147,58.745,50.465,42.204,33.481,27.283,22.643
14.582,66.153,58.717,50.405,42.112,33.394,27.191,22.534
15.179,66.169,58.634,50.22,41.838,33.119,26.937,22.197
16.175,66.188,58.497,49.893,41.387,32.601,26.558,21.604
17.171,66.191,58.363,49.546,40.952,31.997,26.127,20.994
18.765,66.149,58.139,49.017,40.282,30.939,25.086,20.082
19.163,66.127,58.079,48.896,40.117,30.673,24.84,19.884
19.761,66.085,57.983,48.718,39.87,30.281,24.509,19.616
20.558,66.011,57.842,48.485,39.538,29.782,24.123,19.292
20.757,65.99,57.803,48.427,39.454,29.662,24.033,19.214
22.151,65.821,57.504,48.022,38.862,28.902,23.444,18.662
23.546,65.63,57.179,47.607,38.272,28.284,22.892,18.035
24.143,65.546,57.045,47.423,38.022,28.053,22.659,17.73
24.94,65.434,56.879,47.168,37.696,27.769,22.34,17.301
25.538,65.351,56.766,46.967,37.457,27.569,22.087,16.968
26.733,65.188,56.557,46.543,36.995,27.195,21.503,16.295
28.725,64.931,56.183,45.804,36.219,26.59,20.302,15.225
29.124,64.882,56.096,45.66,36.052,26.458,20.027,15.029
29.323,64.858,56.05,45.589,35.966,26.39,19.884,14.934
29.721,64.811,55.954,45.451,35.79,26.246,19.588,14.752
30.12,64.764,55.851,45.318,35.607,26.093,19.285,14.576
32.311,64.528,55.215,44.658,34.489,25.056,17.803,13.681
32.51,64.509,55.155,44.601,34.381,24.951,17.694,13.599
32.908,64.471,55.038,44.487,34.164,24.74,17.485,13.431
33.904,64.383,54.759,44.197,33.614,24.209,17.005,12.948
34.701,64.316,54.566,43.955,33.173,23.782,16.647,12.429
34.9,64.299,54.525,43.893,33.064,23.675,16.559,12.281
35.498,64.248,54.415,43.699,32.739,23.353,16.3,11.832
36.295,64.176,54.297,43.426,32.321,22.922,15.954,11.289
37.49,64.048,54.141,42.986,31.739,22.271,15.401,10.636
38.884,63.85,53.914,42.44,31.139,21.503,14.798,10.023
39.084,63.815,53.873,42.359,31.06,21.392,14.719,9.941
39.283,63.779,53.829,42.279,30.983,21.282,14.642,9.861
40.876,63.428,53.416,41.618,30.397,20.391,14.015,9.232
43.068,62.845,52.769,40.707,29.611,19.156,12.948,8.342
44.064,62.578,52.486,40.307,29.23,18.594,12.122,7.861
44.661,62.428,52.332,40.073,28.987,18.258,11.45,7.465
44.861,62.38,52.283,39.996,28.902,18.146,11.234,7.282
45.06,62.333,52.236,39.92,28.815,18.035,11.039,7.043
45.259,62.288,52.191,39.844,28.726,17.924,10.867,6.725
45.458,62.243,52.146,39.769,28.634,17.813,10.715,6.402
46.056,62.114,52.017,39.546,28.347,17.484,10.33,5.78
